"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月22日","9,351.60","9,402.00","9,402.00","9,351.60","5.26K","-0.54%"
"2020年7月21日","9,402.00","9,179.20","9,434.00","9,179.20","5.40K","2.43%"
"2020年7月20日","9,179.20","9,231.20","9,231.20","9,169.70","1.40K","-0.56%"
"2020年7月19日","9,231.20","9,189.10","9,231.20","9,130.47","1.44K","0.46%"
"2020年7月18日","9,189.10","9,167.33","9,200.10","9,142.90","1.17K","0.24%"
"2020年7月17日","9,167.33","9,149.90","9,172.00","9,128.80","1.06K","0.19%"
"2020年7月16日","9,149.90","9,210.10","9,215.72","9,092.10","2.87K","-0.65%"
"2020年7月15日","9,210.10","9,263.40","9,263.40","9,195.70","0.90K","-0.58%"
"2020年7月14日","9,263.40","9,252.00","9,270.70","9,194.80","2.20K","0.12%"
"2020年7月13日","9,252.00","9,315.80","9,344.84","9,238.07","1.93K","-0.68%"
"2020年7月12日","9,315.80","9,246.30","9,315.80","9,195.60","1.86K","0.75%"
"2020年7月11日","9,246.30","9,305.70","9,305.70","9,221.80","0.81K","-0.64%"
"2020年7月10日","9,305.70","9,248.86","9,305.70","9,161.90","1.42K","0.61%"
"2020年7月9日","9,248.86","9,447.00","9,447.00","9,215.00","3.71K","-2.10%"
"2020年7月8日","9,447.00","9,267.51","9,480.72","9,267.51","3.81K","1.94%"
"2020年7月7日","9,267.51","9,361.00","9,361.00","9,255.08","1.63K","-1.00%"
"2020年7月6日","9,361.01","9,089.65","9,361.01","9,080.06","4.26K","2.99%"
"2020年7月5日","9,089.65","9,147.70","9,152.31","9,004.90","2.08K","-0.63%"
"2020年7月4日","9,147.70","9,073.90","9,203.50","9,060.00","1.13K","0.81%"
"2020年7月3日","9,073.90","9,100.00","9,135.50","9,058.10","1.09K","-0.29%"
"2020年7月2日","9,100.05","9,239.90","9,266.10","8,950.20","3.79K","-1.51%"
"2020年7月1日","9,239.90","9,150.60","9,298.00","9,109.50","2.19K","0.98%"
"2020年6月30日","9,150.60","9,194.43","9,206.46","9,077.10","1.83K","-0.48%"
"2020年6月29日","9,194.40","9,127.84","9,242.10","9,030.20","3.64K","0.73%"
"2020年6月28日","9,127.84","9,015.30","9,193.19","8,949.40","2.11K","1.25%"
"2020年6月27日","9,015.30","9,173.10","9,199.50","8,857.30","3.37K","-1.72%"
"2020年6月26日","9,173.10","9,257.04","9,299.00","9,054.10","3.69K","-0.91%"
"2020年6月25日","9,257.04","9,312.10","9,343.95","9,012.70","5.55K","-0.59%"
"2020年6月24日","9,312.10","9,635.10","9,684.10","9,222.30","5.52K","-3.35%"
"2020年6月23日","9,635.10","9,697.73","9,724.00","9,594.70","3.42K","-0.65%"
"2020年6月22日","9,697.73","9,298.13","9,794.20","9,285.20","5.88K","4.30%"
"2020年6月21日","9,298.13","9,371.30","9,431.10","9,292.10","1.34K","-0.78%"
"2020年6月20日","9,371.30","9,315.50","9,401.00","9,178.60","1.87K","0.60%"
"2020年6月19日","9,315.50","9,400.00","9,439.90","9,241.80","2.62K","-0.90%"
"2020年6月18日","9,400.00","9,473.30","9,496.40","9,287.20","1.66K","-0.77%"
"2020年6月17日","9,473.30","9,534.40","9,566.00","9,261.30","3.14K","-0.64%"
"2020年6月16日","9,534.40","9,435.00","9,589.90","9,388.10","3.44K","1.07%"
"2020年6月15日","9,433.86","9,344.75","9,510.00","8,914.90","10.16K","0.95%"
"2020年6月14日","9,345.40","9,480.88","9,486.00","9,262.00","2.69K","-1.43%"
"2020年6月13日","9,480.76","9,468.30","9,498.20","9,363.60","1.85K","0.13%"
"2020年6月12日","9,468.30","9,272.20","9,544.00","9,246.00","5.05K","2.11%"
"2020年6月11日","9,272.20","9,898.80","9,972.80","9,088.60","15.78K","-6.33%"
"2020年6月10日","9,898.80","9,771.90","10,004.05","9,699.33","4.46K","1.31%"
"2020年6月9日","9,770.80","9,784.40","9,875.90","9,582.10","3.40K","-0.13%"
"2020年6月8日","9,783.20","9,747.10","9,800.00","9,650.40","2.36K","0.38%"
"2020年6月7日","9,746.26","9,668.40","9,814.00","9,402.30","4.71K","0.81%"
"2020年6月6日","9,668.40","9,620.40","9,733.05","9,552.61","1.95K","0.50%"
"2020年6月5日","9,620.51","9,790.70","9,861.80","9,620.51","3.62K","-1.74%"
"2020年6月4日","9,790.70","9,672.01","9,882.10","9,477.00","4.28K","1.23%"
"2020年6月3日","9,672.01","9,530.00","9,684.00","9,400.00","2.66K","1.49%"
"2020年6月2日","9,530.00","10,221.00","10,242.00","9,197.40","21.47K","-6.76%"
"2020年6月1日","10,221.00","9,452.13","10,390.00","9,421.76","13.43K","8.13%"
"2020年5月31日","9,452.10","9,706.40","9,707.20","9,402.60","3.69K","-2.62%"
"2020年5月30日","9,706.40","9,426.20","9,742.00","9,338.00","6.16K","2.97%"
"2020年5月29日","9,426.20","9,589.30","9,618.50","9,352.30","3.88K","-1.70%"
"2020年5月28日","9,589.30","9,210.30","9,629.58","9,121.70","7.63K","4.11%"
"2020年5月27日","9,210.30","8,845.50","9,225.00","8,822.80","5.46K","4.12%"
"2020年5月26日","8,845.50","8,902.00","9,013.29","8,705.03","3.94K","-0.63%"
"2020年5月25日","8,902.00","8,711.50","8,960.80","8,628.60","5.61K","2.19%"
"2020年5月24日","8,711.50","9,174.59","9,300.00","8,700.00","6.73K","-5.05%"
"2020年5月23日","9,174.59","9,162.40","9,304.00","9,088.60","2.45K","0.13%"
"2020年5月22日","9,162.40","9,059.50","9,257.30","8,935.50","3.83K","1.14%"
"2020年5月21日","9,059.50","9,502.00","9,564.00","8,821.40","11.34K","-4.66%"
