days,upper_threshold,lower_threshold,ret,trd_cnt
2,0.2,0.2,0.07242,233
2,0.2,0.3,0.08964,203
2,0.2,0.4,0.10176,179
2,0.2,0.5,0.1104,165
2,0.2,0.6,0.11396,141
2,0.2,0.7,0.09154,129
2,0.2,0.8,-0.02203,117
2,0.2,0.9,-0.01013,113
2,0.2,1,-0.02676,105
2,0.2,1.1,-0.01757,93
2,0.2,1.2,0.07017,77
2,0.3,0.2,0.02137,217
2,0.3,0.3,0.05028,191
2,0.3,0.4,0.07668,167
2,0.3,0.5,0.10178,153
2,0.3,0.6,0.13425,129
2,0.3,0.7,0.08635,125
2,0.3,0.8,-0.01629,113
2,0.3,0.9,-0.00439,109
2,0.3,1,-0.00271,101
2,0.3,1.1,0.00648,89
2,0.3,1.2,0.09149,73
2,0.4,0.2,0.05568,193
2,0.4,0.3,0.09063,167
2,0.4,0.4,0.10483,151
2,0.4,0.5,0.1648,141
2,0.4,0.6,0.19727,117
2,0.4,0.7,0.13118,117
2,0.4,0.8,0.08696,105
2,0.4,0.9,0.09887,101
2,0.4,1,-0.00833,97
2,0.4,1.1,-0.02001,89
2,0.4,1.2,0.06407,73
2,0.5,0.2,0.13257,159
2,0.5,0.3,0.1803,141
2,0.5,0.4,0.15295,129
2,0.5,0.5,0.14482,125
2,0.5,0.6,0.16725,109
2,0.5,0.7,0.13309,109
2,0.5,0.8,0.06829,101
2,0.5,0.9,0.08019,97
2,0.5,1,-0.02701,93
2,0.5,1.1,-0.03869,85
2,0.5,1.2,0.03048,73
2,0.6,0.2,0.16922,127
2,0.6,0.3,0.19573,113
2,0.6,0.4,0.16201,109
2,0.6,0.5,0.16023,105
2,0.6,0.6,0.19308,89
2,0.6,0.7,0.18389,89
2,0.6,0.8,0.16631,81
2,0.6,0.9,0.16631,81
2,0.6,1,0.05911,77
2,0.6,1.1,0.03896,73
2,0.6,1.2,0.04996,65
2,0.7,0.2,0.1731,111
2,0.7,0.3,0.19794,99
2,0.7,0.4,0.18225,95
2,0.7,0.5,0.18047,91
2,0.7,0.6,0.20022,79
2,0.7,0.7,0.20022,79
2,0.7,0.8,0.18264,71
2,0.7,0.9,0.18264,71
2,0.7,1,0.0705,69
2,0.7,1.1,0.05035,65
2,0.7,1.2,0.06134,57
2,0.8,0.2,0.17278,95
2,0.8,0.3,0.19762,83
2,0.8,0.4,0.18193,79
2,0.8,0.5,0.16117,79
2,0.8,0.6,0.18756,71
2,0.8,0.7,0.18756,71
2,0.8,0.8,0.18399,67
2,0.8,0.9,0.18399,67
2,0.8,1,0.07185,65
2,0.8,1.1,0.04873,61
2,0.8,1.2,0.05973,53
2,0.9,0.2,0.20839,79
2,0.9,0.3,0.23436,67
2,0.9,0.4,0.24164,63
2,0.9,0.5,0.22089,63
2,0.9,0.6,0.24082,59
2,0.9,0.7,0.24082,59
2,0.9,0.8,0.25279,55
2,0.9,0.9,0.25279,55
2,0.9,1,0.14066,53
2,0.9,1.1,0.11754,49
2,0.9,1.2,0.12853,41
2,1,0.2,0.21499,69
2,1,0.3,0.21886,65
2,1,0.4,0.22614,61
2,1,0.5,0.20539,61
2,1,0.6,0.23013,57
2,1,0.7,0.23013,57
2,1,0.8,0.2757,53
2,1,0.9,0.2757,53
2,1,1,0.16356,51
2,1,1.1,0.15829,51
2,1,1.2,0.11588,43
2,1.1,0.2,0.21554,57
2,1.1,0.3,0.21942,53
2,1.1,0.4,0.22542,53
2,1.1,0.5,0.22542,53
2,1.1,0.6,0.25017,49
2,1.1,0.7,0.25017,49
2,1.1,0.8,0.29573,45
2,1.1,0.9,0.29573,45
2,1.1,1,0.27115,43
2,1.1,1.1,0.26588,43
2,1.1,1.2,0.14486,39
2,1.2,0.2,0.22707,53
2,1.2,0.3,0.23094,49
2,1.2,0.4,0.23695,49
2,1.2,0.5,0.23695,49
2,1.2,0.6,0.22389,49
2,1.2,0.7,0.22389,49
2,1.2,0.8,0.26946,45
2,1.2,0.9,0.26946,45
2,1.2,1,0.24488,43
2,1.2,1.1,0.2396,43
2,1.2,1.2,0.14486,39
3,0.2,0.2,0.06873,197
3,0.2,0.3,0.10984,165
3,0.2,0.4,0.12062,147
3,0.2,0.5,0.10528,135
3,0.2,0.6,0.05054,119
3,0.2,0.7,0.05974,115
3,0.2,0.8,-0.04249,89
3,0.2,0.9,-0.03056,81
3,0.2,1,0.12124,57
3,0.2,1.1,0.12034,53
3,0.2,1.2,0.06864,49
3,0.3,0.2,0.01719,169
3,0.3,0.3,0.07465,141
3,0.3,0.4,0.07727,131
3,0.3,0.5,0.06599,119
3,0.3,0.6,0.02813,107
3,0.3,0.7,0.04899,103
3,0.3,0.8,-0.03493,77
3,0.3,0.9,-0.03791,73
3,0.3,1,0.12213,53
3,0.3,1.1,0.12123,49
3,0.3,1.2,0.08382,45
3,0.4,0.2,0.20731,131
3,0.4,0.3,0.20628,115
3,0.4,0.4,0.16194,115
3,0.4,0.5,0.15066,103
3,0.4,0.6,0.15303,95
3,0.4,0.7,0.15303,95
3,0.4,0.8,-0.03436,73
3,0.4,0.9,-0.03735,69
3,0.4,1,0.07091,53
3,0.4,1.1,0.07002,49
3,0.4,1.2,0.04921,45
3,0.5,0.2,0.2708,103
3,0.5,0.3,0.26237,91
3,0.5,0.4,0.23829,91
3,0.5,0.5,0.21549,83
3,0.5,0.6,0.2274,79
3,0.5,0.7,0.2274,79
3,0.5,0.8,0.01942,61
3,0.5,0.9,0.00454,61
3,0.5,1,0.08473,49
3,0.5,1.1,0.08384,45
3,0.5,1.2,0.06303,41
3,0.6,0.2,0.22418,93
3,0.6,0.3,0.21391,85
3,0.6,0.4,0.18983,85
3,0.6,0.5,0.23435,77
3,0.6,0.6,0.20846,77
3,0.6,0.7,0.20846,77
3,0.6,0.8,0.00326,63
3,0.6,0.9,-0.01163,63
3,0.6,1,0.05425,51
3,0.6,1.1,0.05335,47
3,0.6,1.2,0.03254,43
3,0.7,0.2,0.16489,81
3,0.7,0.3,0.16191,73
3,0.7,0.4,0.14891,73
3,0.7,0.5,0.19343,65
3,0.7,0.6,0.17674,65
3,0.7,0.7,0.17674,65
3,0.7,0.8,0.03799,53
3,0.7,0.9,0.02311,53
3,0.7,1,0.05529,47
3,0.7,1.1,0.06706,43
3,0.7,1.2,0.04625,39
3,0.8,0.2,0.18781,53
3,0.8,0.3,0.1759,53
3,0.8,0.4,0.16291,53
3,0.8,0.5,0.20097,49
3,0.8,0.6,0.18428,49
3,0.8,0.7,0.18428,49
3,0.8,0.8,0.05954,41
3,0.8,0.9,0.04465,41
3,0.8,1,0.09313,39
3,0.8,1.1,0.10489,35
3,0.8,1.2,0.10489,35
3,0.9,0.2,0.0932,37
3,0.9,0.3,0.08611,37
3,0.9,0.4,0.08611,37
3,0.9,0.5,0.11563,37
3,0.9,0.6,0.11448,37
3,0.9,0.7,0.11448,37
3,0.9,0.8,0.03345,33
3,0.9,0.9,0.02569,33
3,0.9,1,0.00574,33
3,0.9,1.1,0.04973,29
3,0.9,1.2,0.04973,29
3,1,0.2,0.06866,33
3,1,0.3,0.06157,33
3,1,0.4,0.06157,33
3,1,0.5,0.09108,33
3,1,0.6,0.08993,33
3,1,0.7,0.08993,33
3,1,0.8,0.08125,33
3,1,0.9,0.0735,33
3,1,1,0.05355,33
3,1,1.1,0.09754,29
3,1,1.2,0.09754,29
3,1.1,0.2,0.04387,29
3,1.1,0.3,0.04869,29
3,1.1,0.4,0.04869,29
3,1.1,0.5,0.0782,29
3,1.1,0.6,0.07705,29
3,1.1,0.7,0.07705,29
3,1.1,0.8,0.06837,29
3,1.1,0.9,0.06061,29
3,1.1,1,0.04067,29
3,1.1,1.1,0.09754,29
3,1.1,1.2,0.09754,29
3,1.2,0.2,0.0764,21
3,1.2,0.3,0.08121,21
3,1.2,0.4,0.08121,21
3,1.2,0.5,0.11073,21
3,1.2,0.6,0.10958,21
3,1.2,0.7,0.10958,21
3,1.2,0.8,0.1009,21
3,1.2,0.9,0.1009,21
3,1.2,1,0.08372,21
3,1.2,1.1,0.14059,21
3,1.2,1.2,0.14059,21
4,0.2,0.2,0.13554,157
4,0.2,0.3,0.17023,133
4,0.2,0.4,0.17264,111
4,0.2,0.5,0.132,99
4,0.2,0.6,0.12903,87
4,0.2,0.7,0.11873,63
4,0.2,0.8,0.06241,53
4,0.2,0.9,-0.01132,49
4,0.2,1,0.01754,45
4,0.2,1.1,0.01664,41
4,0.2,1.2,0.00642,33
4,0.3,0.2,0.182,131
4,0.3,0.3,0.22321,111
4,0.3,0.4,0.18183,99
4,0.3,0.5,0.18143,91
4,0.3,0.6,0.24877,79
